Entry, Tail, Size, Date,Resolution
EMD-10246,emd_10246_half_map_1.map.gz,1451451,2020-09-01,5.0
EMD-10246,emd_10246_half_map_2.map.gz,1451867,2020-09-01,5.0
EMD-10286,emd_10286_half_map_1.map.gz,2032666,2020-11-18,13.7
EMD-10286,emd_10286_half_map_2.map.gz,2032380,2020-11-18,13.7
EMD-10526,emd_10526_half_map_1.map.gz,3693829,2021-01-18,20.0
EMD-10526,emd_10526_half_map_2.map.gz,3689695,2021-01-18,20.0
EMD-10527,emd_10527_half_map_1.map.gz,1891162,2021-01-18,34.0
EMD-10527,emd_10527_half_map_2.map.gz,1889864,2021-01-18,34.0
EMD-10630,emd_10630_half_map_1.map.gz,1668420,2020-03-05,26.1
EMD-10630,emd_10630_half_map_2.map.gz,1663825,2020-03-05,26.1
EMD-10640,emd_10640_half_map_1.map.gz,3770432,2020-05-07,27.7
EMD-10640,emd_10640_half_map_2.map.gz,3764326,2020-05-07,27.7
EMD-10641,emd_10641_half_map_1.map.gz,3771055,2020-05-07,25.7
EMD-10641,emd_10641_half_map_2.map.gz,3765412,2020-05-07,25.7
EMD-10646,emd_10646_half_map_1.map.gz,3774844,2020-05-07,30.0
EMD-10646,emd_10646_half_map_2.map.gz,3769776,2020-05-07,30.0
EMD-10749,emd_10749_half_map_1.map.gz,1555830,2020-08-08,10.2
EMD-10749,emd_10749_half_map_2.map.gz,1555900,2020-08-08,10.2
EMD-10944,emd_10944_half_map_1.map.gz,2912251,2020-07-16,7.6
EMD-10944,emd_10944_half_map_2.map.gz,2912708,2020-07-16,7.6
EMD-10964,emd_10964_half_map_1.map.gz,2010333,2020-07-08,8.2
EMD-10964,emd_10964_half_map_2.map.gz,2013729,2020-07-08,8.2
EMD-11053,emd_11053_half_map_1.map.gz,2895097,2020-09-24,8.6
EMD-11053,emd_11053_half_map_2.map.gz,2892710,2020-09-24,8.6
EMD-11067,emd_11067_half_map_1.map.gz,1579058,2021-01-04,3.19
EMD-11067,emd_11067_half_map_2.map.gz,1575167,2021-01-04,3.19
EMD-11070,emd_11070_half_map_1.map.gz,1765147,2020-12-21,9.0
EMD-11070,emd_11070_half_map_2.map.gz,1764820,2020-12-21,9.0
EMD-11129,emd_11129_half_map_1.map.gz,283621,2020-08-24,15.6
EMD-11129,emd_11129_half_map_2.map.gz,256950,2020-08-24,15.6
EMD-11131,emd_11131_half_map_1.map.gz,277333,2020-07-04,17.3
EMD-11131,emd_11131_half_map_2.map.gz,275485,2020-07-04,17.3
EMD-11133,emd_11133_half_map_1.map.gz,307420,2020-08-24,16.6
EMD-11133,emd_11133_half_map_2.map.gz,319764,2020-08-24,16.6
EMD-11135,emd_11135_half_map_1.map.gz,281727,2020-08-24,15.9
EMD-11135,emd_11135_half_map_2.map.gz,265917,2020-08-24,15.9
EMD-11236,emd_11236_half_map_1.map.gz,3950279,2020-10-08,11.4
EMD-11236,emd_11236_half_map_2.map.gz,3950613,2020-10-08,11.4
EMD-11403,emd_11403_half_map_1.map.gz,3710444,2021-01-11,22.0
EMD-11403,emd_11403_half_map_2.map.gz,3710705,2021-01-11,22.0
EMD-11816,emd_11816_half_map_1.map.gz,1070635,2021-01-04,8.0
EMD-11816,emd_11816_half_map_2.map.gz,1065922,2021-01-04,8.0
EMD-11931,emd_11931_half_map_1.map.gz,3681784,2021-02-01,40.2
EMD-11931,emd_11931_half_map_2.map.gz,3686454,2021-02-01,40.2
EMD-20753,emd_20753_half_map_1.map.gz,3872646,2020-01-27,3.3
EMD-20753,emd_20753_half_map_2.map.gz,3872865,2020-01-27,3.3
EMD-21001,emd_21001_half_map_1.map.gz,2520642,2019-12-24,19.0
EMD-21001,emd_21001_half_map_2.map.gz,2522102,2019-12-24,19.0
EMD-21397,emd_21397_half_map_1.map.gz,2510134,2021-01-11,23.0
EMD-21397,emd_21397_half_map_2.map.gz,2509250,2021-01-11,23.0
EMD-21398,emd_21398_half_map_1.map.gz,2517873,2021-01-11,15.0
EMD-21398,emd_21398_half_map_2.map.gz,2518220,2021-01-11,15.0
EMD-21399,emd_21399_half_map_1.map.gz,2521236,2021-01-11,22.0
EMD-21399,emd_21399_half_map_2.map.gz,2520012,2021-01-11,22.0
EMD-21400,emd_21400_half_map_1.map.gz,2528063,2021-01-11,28.0
EMD-21400,emd_21400_half_map_2.map.gz,2529143,2021-01-11,28.0
EMD-21401,emd_21401_half_map_1.map.gz,2519451,2021-01-11,23.0
EMD-21401,emd_21401_half_map_2.map.gz,2519565,2021-01-11,23.0
EMD-21402,emd_21402_half_map_1.map.gz,2520534,2021-01-11,23.0
EMD-21402,emd_21402_half_map_2.map.gz,2519841,2021-01-11,23.0
EMD-21403,emd_21403_half_map_1.map.gz,2513358,2021-01-11,15.0
EMD-21403,emd_21403_half_map_2.map.gz,2512074,2021-01-11,15.0
EMD-21404,emd_21404_half_map_1.map.gz,2517504,2021-01-11,17.0
EMD-21404,emd_21404_half_map_2.map.gz,2517894,2021-01-11,17.0
EMD-21811,emd_21811_half_map_1.map.gz,3990809,2020-11-24,3.6
EMD-21811,emd_21811_half_map_2.map.gz,3985284,2020-11-24,3.6
EMD-21922,emd_21922_half_map_1.map.gz,2021092,2020-05-14,3.2
EMD-21922,emd_21922_half_map_2.map.gz,2020858,2020-05-14,3.2
EMD-21923,emd_21923_half_map_1.map.gz,2020469,2020-05-14,3.3
EMD-21923,emd_21923_half_map_2.map.gz,2020284,2020-05-14,3.3
EMD-21952,emd_21952_half_map_1.map.gz,1143194,2020-08-27,21.0
EMD-21952,emd_21952_half_map_2.map.gz,1141441,2020-08-27,21.0
EMD-22365,emd_22365_half_map_1.map.gz,737680,2020-11-28,19.0
EMD-22365,emd_22365_half_map_2.map.gz,737798,2020-11-28,19.0
EMD-22809,emd_22809_half_map_1.map.gz,2524378,2020-10-12,12.06
EMD-22809,emd_22809_half_map_2.map.gz,2524986,2020-10-12,12.06
EMD-22920,emd_22920_half_map_1.map.gz,2522984,2020-11-22,16.8
EMD-22920,emd_22920_half_map_2.map.gz,2522911,2020-11-22,16.8
EMD-22921,emd_22921_half_map_1.map.gz,334474,2020-11-22,17.5
EMD-22921,emd_22921_half_map_2.map.gz,334680,2020-11-22,17.5
EMD-22923,emd_22923_half_map_1.map.gz,2529223,2020-11-03,17.5
EMD-22923,emd_22923_half_map_2.map.gz,2529236,2020-11-03,17.5
EMD-22929,emd_22929_half_map_1.map.gz,2526235,2020-11-10,13.8
EMD-22929,emd_22929_half_map_2.map.gz,2526288,2020-11-10,13.8
EMD-22930,emd_22930_half_map_1.map.gz,2518779,2020-11-10,10.2
EMD-22930,emd_22930_half_map_2.map.gz,2519007,2020-11-10,10.2
EMD-22933,emd_22933_half_map_1.map.gz,2515081,2020-11-10,8.4
EMD-22933,emd_22933_half_map_2.map.gz,2514462,2020-11-10,8.4
EMD-22934,emd_22934_half_map_1.map.gz,2523495,2020-11-10,10.7
EMD-22934,emd_22934_half_map_2.map.gz,2523168,2020-11-10,10.7
EMD-22936,emd_22936_half_map_1.map.gz,2524349,2020-11-10,16.8
EMD-22936,emd_22936_half_map_2.map.gz,2524629,2020-11-10,16.8
EMD-22942,emd_22942_half_map_1.map.gz,2534209,2020-11-10,19.3
EMD-22942,emd_22942_half_map_2.map.gz,2532784,2020-11-10,19.3
EMD-22944,emd_22944_half_map_1.map.gz,2528706,2020-11-10,16.8
EMD-22944,emd_22944_half_map_2.map.gz,2528792,2020-11-10,16.8
EMD-22945,emd_22945_half_map_1.map.gz,2528468,2020-11-10,19.3
EMD-22945,emd_22945_half_map_2.map.gz,2528780,2020-11-10,19.3
EMD-22946,emd_22946_half_map_1.map.gz,2521170,2020-11-10,16.1
EMD-22946,emd_22946_half_map_2.map.gz,2522157,2020-11-10,16.1
EMD-22947,emd_22947_half_map_1.map.gz,2522614,2020-11-10,17.5
EMD-22947,emd_22947_half_map_2.map.gz,2523582,2020-11-10,17.5
EMD-22948,emd_22948_half_map_1.map.gz,2526256,2020-11-10,17.5
EMD-22948,emd_22948_half_map_2.map.gz,2525977,2020-11-10,17.5
EMD-22951,emd_22951_half_map_1.map.gz,2524608,2020-11-10,17.5
EMD-22951,emd_22951_half_map_2.map.gz,2525121,2020-11-10,17.5
EMD-22952,emd_22952_half_map_1.map.gz,2519753,2020-11-10,12.4
EMD-22952,emd_22952_half_map_2.map.gz,2519909,2020-11-10,12.4
EMD-22953,emd_22953_half_map_1.map.gz,2518858,2020-11-10,13.3
EMD-22953,emd_22953_half_map_2.map.gz,2518443,2020-11-10,13.3
EMD-22955,emd_22955_half_map_1.map.gz,2529721,2020-11-10,17.5
EMD-22955,emd_22955_half_map_2.map.gz,2529220,2020-11-10,17.5
EMD-22956,emd_22956_half_map_1.map.gz,2539059,2020-11-10,19.3
EMD-22956,emd_22956_half_map_2.map.gz,2539808,2020-11-10,19.3
EMD-22957,emd_22957_half_map_1.map.gz,2534736,2020-11-10,17.5
EMD-22957,emd_22957_half_map_2.map.gz,2534300,2020-11-10,17.5
EMD-22958,emd_22958_half_map_1.map.gz,2533152,2020-11-10,17.5
EMD-22958,emd_22958_half_map_2.map.gz,2534337,2020-11-10,17.5
EMD-22967,emd_22967_half_map_1.map.gz,2523916,2020-11-10,16.8
EMD-22967,emd_22967_half_map_2.map.gz,2524156,2020-11-10,16.8
EMD-22968,emd_22968_half_map_1.map.gz,2519603,2020-11-10,16.1
EMD-22968,emd_22968_half_map_2.map.gz,2519945,2020-11-10,16.1
EMD-22969,emd_22969_half_map_1.map.gz,2529443,2020-11-10,17.5
EMD-22969,emd_22969_half_map_2.map.gz,2527205,2020-11-10,17.5
EMD-22970,emd_22970_half_map_1.map.gz,2531673,2020-11-10,17.5
EMD-22970,emd_22970_half_map_2.map.gz,2532268,2020-11-10,17.5
EMD-22971,emd_22971_half_map_1.map.gz,2533898,2020-11-10,18.4
EMD-22971,emd_22971_half_map_2.map.gz,2534841,2020-11-10,18.4
EMD-22984,emd_22984_half_map_1.map.gz,2524071,2020-11-11,14.3
EMD-22984,emd_22984_half_map_2.map.gz,2524871,2020-11-11,14.3
EMD-22985,emd_22985_half_map_1.map.gz,2535755,2020-11-11,18.4
EMD-22985,emd_22985_half_map_2.map.gz,2536827,2020-11-11,18.4
EMD-22986,emd_22986_half_map_1.map.gz,2533086,2020-11-11,10.0
EMD-22986,emd_22986_half_map_2.map.gz,2532825,2020-11-11,10.0
EMD-30026,emd_30026_half_map_1.map.gz,2534033,2020-12-01,8.19
EMD-30026,emd_30026_half_map_2.map.gz,2536657,2020-12-01,8.19
EMD-3650,emd_3650_half_map_1.map.gz,2906891,2017-07-02,3.4
EMD-3650,emd_3650_half_map_2.map.gz,2908903,2017-07-02,3.4
EMD-3651,emd_3651_half_map_1.map.gz,2908726,2017-07-11,3.6
EMD-3651,emd_3651_half_map_2.map.gz,2907402,2017-07-11,3.6
EMD-4231,emd_4231_half_map_1.map.gz,2258062,2020-09-21,25.0
EMD-4231,emd_4231_half_map_2.map.gz,2188979,2020-09-21,25.0
EMD-4596,emd_4596_half_map_1.map.gz,3280179,2020-02-04,9.64
EMD-4596,emd_4596_half_map_2.map.gz,3281956,2020-02-04,9.64
EMD-4615,emd_4615_half_map_1.map.gz,1438115,2020-11-18,13.5
EMD-4615,emd_4615_half_map_2.map.gz,1437819,2020-11-18,13.5
EMD-6479,polishCoreMaskhalf1.map.gz,2662500,2016-01-11,3.5
EMD-6479,polishCoreMaskhalf2.map.gz,2661980,2016-01-11,3.5
EMD-7023,emd_7023_half_map_1.map.gz,1725525,2017-11-08,3.4
EMD-7023,emd_7023_half_map_2.map.gz,1726147,2017-11-08,3.4
EMD-7104,emd_7104_half_map_1.map.gz,754992,2020-11-21,25.6
EMD-7104,emd_7104_half_map_2.map.gz,754833,2020-11-21,25.6
EMD-7105,emd_7105_half_map_1.map.gz,758698,2020-11-21,26.0
EMD-7105,emd_7105_half_map_2.map.gz,757084,2020-11-21,26.0
EMD-7106,emd_7106_half_map_1.map.gz,749854,2020-11-21,24.0
EMD-7106,emd_7106_half_map_2.map.gz,748925,2020-11-21,24.0
EMD-7107,emd_7107_half_map_1.map.gz,753989,2017-11-28,27.0
EMD-7107,emd_7107_half_map_2.map.gz,753378,2017-11-28,27.0
EMD-7108,emd_7108_half_map_1.map.gz,756930,2017-11-25,26.0
EMD-7108,emd_7108_half_map_2.map.gz,756615,2017-11-25,26.0
EMD-7861,emd_7861_half_map_1.map.gz,2913684,2018-06-19,30.0
EMD-7861,emd_7861_half_map_2.map.gz,2914382,2018-06-19,30.0
EMD-7862,emd_7862_half_map_1.map.gz,2900954,2018-06-19,30.0
EMD-7862,emd_7862_half_map_2.map.gz,2900573,2018-06-19,30.0
EMD-7864,emd_7864_half_map_1.map.gz,2911567,2018-06-19,30.0
EMD-7864,emd_7864_half_map_2.map.gz,2911407,2018-06-19,30.0
EMD-8168,emd_8168_half_map_1.map.gz,488308,2018-02-08,10.9
EMD-8168,emd_8168_half_map_2.map.gz,486144,2018-02-08,10.9
EMD-8403,emd_8403_half_map_1.map.gz,707036,2021-01-25,18.0
EMD-8403,emd_8403_half_map_2.map.gz,728441,2021-01-25,18.0
EMD-8481,emd_8481_half_map_1.map.gz,2901149,2019-11-20,3.9
EMD-8481,emd_8481_half_map_2.map.gz,2900730,2019-11-20,3.9
EMD-8839,emd_8839_half_map_1.map.gz,895392,2019-12-15,14.0
EMD-8839,emd_8839_half_map_2.map.gz,3873315,2019-12-15,14.0
EMD-9187,emd_9187_half_map_1.map.gz,2714528,2019-11-21,3.54
EMD-9187,emd_9187_half_map_2.map.gz,2714869,2019-11-21,3.54
EMD-9188,emd_9188_half_map_1.map.gz,2691204,2019-11-21,3.84
EMD-9188,emd_9188_half_map_2.map.gz,2692450,2019-11-21,3.84
EMD-9625,emd_9625_half_map_1.map.gz,3699711,2020-11-30,6.78
EMD-9625,emd_9625_half_map_2.map.gz,3698721,2020-11-30,6.78
EMD-9946,emd_9946_half_map_1.map.gz,2470488,2020-09-09,3.3
EMD-9946,emd_9946_half_map_2.map.gz,2470464,2020-09-09,3.3
EMD-9947,emd_9947_half_map_1.map.gz,2631745,2020-09-09,4.1
EMD-9947,emd_9947_half_map_2.map.gz,2632939,2020-09-09,4.1
